# seed  config  arm      budget  model
# Generated by experiments/make_schedule.py; regenerate rather than edit.
# batch 3, seeds 320-499: ('control', 'gate', 'pushed') x ('claude-sonnet-5', 'claude-fable-5-1'), 30 per cell, 180 rows (prereg §6, amendment 7).
320    s0      control  -       claude-sonnet-5
321    s0      control  -       claude-fable-5-1
322    s0      gate     -       claude-sonnet-5
323    s0      gate     -       claude-fable-5-1
324    s0      pushed   -       claude-sonnet-5
325    s0      pushed   -       claude-fable-5-1
326    s0      control  -       claude-sonnet-5
327    s0      control  -       claude-fable-5-1
328    s0      gate     -       claude-sonnet-5
329    s0      gate     -       claude-fable-5-1
330    s0      pushed   -       claude-sonnet-5
331    s0      pushed   -       claude-fable-5-1
332    s0      control  -       claude-sonnet-5
333    s0      control  -       claude-fable-5-1
334    s0      gate     -       claude-sonnet-5
335    s0      gate     -       claude-fable-5-1
336    s0      pushed   -       claude-sonnet-5
337    s0      pushed   -       claude-fable-5-1
338    s0      control  -       claude-sonnet-5
339    s0      control  -       claude-fable-5-1
340    s0      gate     -       claude-sonnet-5
341    s0      gate     -       claude-fable-5-1
342    s0      pushed   -       claude-sonnet-5
343    s0      pushed   -       claude-fable-5-1
344    s0      control  -       claude-sonnet-5
345    s0      control  -       claude-fable-5-1
346    s0      gate     -       claude-sonnet-5
347    s0      gate     -       claude-fable-5-1
348    s0      pushed   -       claude-sonnet-5
349    s0      pushed   -       claude-fable-5-1
350    s0      control  -       claude-sonnet-5
351    s0      control  -       claude-fable-5-1
352    s0      gate     -       claude-sonnet-5
353    s0      gate     -       claude-fable-5-1
354    s0      pushed   -       claude-sonnet-5
355    s0      pushed   -       claude-fable-5-1
356    s0      control  -       claude-sonnet-5
357    s0      control  -       claude-fable-5-1
358    s0      gate     -       claude-sonnet-5
359    s0      gate     -       claude-fable-5-1
360    s0      pushed   -       claude-sonnet-5
361    s0      pushed   -       claude-fable-5-1
362    s0      control  -       claude-sonnet-5
363    s0      control  -       claude-fable-5-1
364    s0      gate     -       claude-sonnet-5
365    s0      gate     -       claude-fable-5-1
366    s0      pushed   -       claude-sonnet-5
367    s0      pushed   -       claude-fable-5-1
368    s0      control  -       claude-sonnet-5
369    s0      control  -       claude-fable-5-1
370    s0      gate     -       claude-sonnet-5
371    s0      gate     -       claude-fable-5-1
372    s0      pushed   -       claude-sonnet-5
373    s0      pushed   -       claude-fable-5-1
374    s0      control  -       claude-sonnet-5
375    s0      control  -       claude-fable-5-1
376    s0      gate     -       claude-sonnet-5
377    s0      gate     -       claude-fable-5-1
378    s0      pushed   -       claude-sonnet-5
379    s0      pushed   -       claude-fable-5-1
380    s0      control  -       claude-sonnet-5
381    s0      control  -       claude-fable-5-1
382    s0      gate     -       claude-sonnet-5
383    s0      gate     -       claude-fable-5-1
384    s0      pushed   -       claude-sonnet-5
385    s0      pushed   -       claude-fable-5-1
386    s0      control  -       claude-sonnet-5
387    s0      control  -       claude-fable-5-1
388    s0      gate     -       claude-sonnet-5
389    s0      gate     -       claude-fable-5-1
390    s0      pushed   -       claude-sonnet-5
391    s0      pushed   -       claude-fable-5-1
392    s0      control  -       claude-sonnet-5
393    s0      control  -       claude-fable-5-1
394    s0      gate     -       claude-sonnet-5
395    s0      gate     -       claude-fable-5-1
396    s0      pushed   -       claude-sonnet-5
397    s0      pushed   -       claude-fable-5-1
398    s0      control  -       claude-sonnet-5
399    s0      control  -       claude-fable-5-1
400    s0      gate     -       claude-sonnet-5
401    s0      gate     -       claude-fable-5-1
402    s0      pushed   -       claude-sonnet-5
403    s0      pushed   -       claude-fable-5-1
404    s0      control  -       claude-sonnet-5
405    s0      control  -       claude-fable-5-1
406    s0      gate     -       claude-sonnet-5
407    s0      gate     -       claude-fable-5-1
408    s0      pushed   -       claude-sonnet-5
409    s0      pushed   -       claude-fable-5-1
410    s0      control  -       claude-sonnet-5
411    s0      control  -       claude-fable-5-1
412    s0      gate     -       claude-sonnet-5
413    s0      gate     -       claude-fable-5-1
414    s0      pushed   -       claude-sonnet-5
415    s0      pushed   -       claude-fable-5-1
416    s0      control  -       claude-sonnet-5
417    s0      control  -       claude-fable-5-1
418    s0      gate     -       claude-sonnet-5
419    s0      gate     -       claude-fable-5-1
420    s0      pushed   -       claude-sonnet-5
421    s0      pushed   -       claude-fable-5-1
422    s0      control  -       claude-sonnet-5
423    s0      control  -       claude-fable-5-1
424    s0      gate     -       claude-sonnet-5
425    s0      gate     -       claude-fable-5-1
426    s0      pushed   -       claude-sonnet-5
427    s0      pushed   -       claude-fable-5-1
428    s0      control  -       claude-sonnet-5
429    s0      control  -       claude-fable-5-1
430    s0      gate     -       claude-sonnet-5
431    s0      gate     -       claude-fable-5-1
432    s0      pushed   -       claude-sonnet-5
433    s0      pushed   -       claude-fable-5-1
434    s0      control  -       claude-sonnet-5
435    s0      control  -       claude-fable-5-1
436    s0      gate     -       claude-sonnet-5
437    s0      gate     -       claude-fable-5-1
438    s0      pushed   -       claude-sonnet-5
439    s0      pushed   -       claude-fable-5-1
440    s0      control  -       claude-sonnet-5
441    s0      control  -       claude-fable-5-1
442    s0      gate     -       claude-sonnet-5
443    s0      gate     -       claude-fable-5-1
444    s0      pushed   -       claude-sonnet-5
445    s0      pushed   -       claude-fable-5-1
446    s0      control  -       claude-sonnet-5
447    s0      control  -       claude-fable-5-1
448    s0      gate     -       claude-sonnet-5
449    s0      gate     -       claude-fable-5-1
450    s0      pushed   -       claude-sonnet-5
451    s0      pushed   -       claude-fable-5-1
452    s0      control  -       claude-sonnet-5
453    s0      control  -       claude-fable-5-1
454    s0      gate     -       claude-sonnet-5
455    s0      gate     -       claude-fable-5-1
456    s0      pushed   -       claude-sonnet-5
457    s0      pushed   -       claude-fable-5-1
458    s0      control  -       claude-sonnet-5
459    s0      control  -       claude-fable-5-1
460    s0      gate     -       claude-sonnet-5
461    s0      gate     -       claude-fable-5-1
462    s0      pushed   -       claude-sonnet-5
463    s0      pushed   -       claude-fable-5-1
464    s0      control  -       claude-sonnet-5
465    s0      control  -       claude-fable-5-1
466    s0      gate     -       claude-sonnet-5
467    s0      gate     -       claude-fable-5-1
468    s0      pushed   -       claude-sonnet-5
469    s0      pushed   -       claude-fable-5-1
470    s0      control  -       claude-sonnet-5
471    s0      control  -       claude-fable-5-1
472    s0      gate     -       claude-sonnet-5
473    s0      gate     -       claude-fable-5-1
474    s0      pushed   -       claude-sonnet-5
475    s0      pushed   -       claude-fable-5-1
476    s0      control  -       claude-sonnet-5
477    s0      control  -       claude-fable-5-1
478    s0      gate     -       claude-sonnet-5
479    s0      gate     -       claude-fable-5-1
480    s0      pushed   -       claude-sonnet-5
481    s0      pushed   -       claude-fable-5-1
482    s0      control  -       claude-sonnet-5
483    s0      control  -       claude-fable-5-1
484    s0      gate     -       claude-sonnet-5
485    s0      gate     -       claude-fable-5-1
486    s0      pushed   -       claude-sonnet-5
487    s0      pushed   -       claude-fable-5-1
488    s0      control  -       claude-sonnet-5
489    s0      control  -       claude-fable-5-1
490    s0      gate     -       claude-sonnet-5
491    s0      gate     -       claude-fable-5-1
492    s0      pushed   -       claude-sonnet-5
493    s0      pushed   -       claude-fable-5-1
494    s0      control  -       claude-sonnet-5
495    s0      control  -       claude-fable-5-1
496    s0      gate     -       claude-sonnet-5
497    s0      gate     -       claude-fable-5-1
498    s0      pushed   -       claude-sonnet-5
499    s0      pushed   -       claude-fable-5-1
