# seed  config  arm      budget
# amendment 4, seeds 80-319. Generated by experiments/make_schedule.py;
# regenerate rather than edit. Quotas verified against the amendment.
80     s0      count    -
81     s0      budget   20
82     s0      budget   60
83     s0      budget   180
84     s3      control  -
85     s3      gate     -
86     s0      control  -
87     s0      gate     -
88     s0      count    -
89     s0      budget   20
90     s0      budget   60
91     s0      budget   180
92     s3      control  -
93     s3      gate     -
94     s0      control  -
95     s0      gate     -
96     s0      count    -
97     s0      budget   20
98     s0      budget   60
99     s0      budget   180
100    s3      control  -
101    s3      gate     -
102    s0      control  -
103    s0      gate     -
104    s0      count    -
105    s0      budget   20
106    s0      budget   60
107    s0      budget   180
108    s3      control  -
109    s3      gate     -
110    s0      control  -
111    s0      gate     -
112    s0      count    -
113    s0      budget   20
114    s0      budget   60
115    s0      budget   180
116    s3      control  -
117    s3      gate     -
118    s0      control  -
119    s0      gate     -
120    s0      count    -
121    s0      budget   20
122    s0      budget   60
123    s0      budget   180
124    s3      control  -
125    s3      gate     -
126    s0      control  -
127    s0      gate     -
128    s0      count    -
129    s0      budget   20
130    s0      budget   60
131    s0      budget   180
132    s3      control  -
133    s3      gate     -
134    s0      control  -
135    s0      gate     -
136    s0      count    -
137    s0      budget   20
138    s0      budget   60
139    s0      budget   180
140    s3      control  -
141    s3      gate     -
142    s0      control  -
143    s0      gate     -
144    s0      count    -
145    s0      budget   20
146    s0      budget   60
147    s0      budget   180
148    s3      control  -
149    s3      gate     -
150    s0      control  -
151    s0      gate     -
152    s0      count    -
153    s0      budget   20
154    s0      budget   60
155    s0      budget   180
156    s3      control  -
157    s3      gate     -
158    s0      control  -
159    s0      gate     -
160    s0      count    -
161    s0      budget   20
162    s0      budget   60
163    s0      budget   180
164    s3      control  -
165    s3      gate     -
166    s0      control  -
167    s0      gate     -
168    s0      count    -
169    s0      budget   20
170    s0      budget   60
171    s0      budget   180
172    s3      control  -
173    s3      gate     -
174    s0      control  -
175    s0      gate     -
176    s0      count    -
177    s0      budget   20
178    s0      budget   60
179    s0      budget   180
180    s3      control  -
181    s3      gate     -
182    s0      control  -
183    s0      gate     -
184    s0      count    -
185    s0      budget   20
186    s0      budget   60
187    s0      budget   180
188    s3      control  -
189    s3      gate     -
190    s0      control  -
191    s0      gate     -
192    s0      count    -
193    s0      budget   20
194    s0      budget   60
195    s0      budget   180
196    s3      control  -
197    s3      gate     -
198    s0      control  -
199    s0      gate     -
200    s0      count    -
201    s0      budget   20
202    s0      budget   60
203    s0      budget   180
204    s3      control  -
205    s3      gate     -
206    s0      control  -
207    s0      gate     -
208    s0      count    -
209    s0      budget   20
210    s0      budget   60
211    s0      budget   180
212    s3      control  -
213    s3      gate     -
214    s0      control  -
215    s0      gate     -
216    s0      count    -
217    s0      budget   20
218    s0      budget   60
219    s0      budget   180
220    s3      control  -
221    s3      gate     -
222    s0      control  -
223    s0      gate     -
224    s0      count    -
225    s0      budget   20
226    s0      budget   60
227    s0      budget   180
228    s3      control  -
229    s3      gate     -
230    s0      control  -
231    s0      gate     -
232    s0      count    -
233    s0      budget   20
234    s0      budget   60
235    s0      budget   180
236    s3      control  -
237    s3      gate     -
238    s0      control  -
239    s0      gate     -
240    s0      count    -
241    s3      control  -
242    s3      gate     -
243    s0      control  -
244    s0      gate     -
245    s0      count    -
246    s3      control  -
247    s3      gate     -
248    s0      control  -
249    s0      gate     -
250    s0      count    -
251    s3      control  -
252    s3      gate     -
253    s0      control  -
254    s0      gate     -
255    s0      count    -
256    s3      control  -
257    s3      gate     -
258    s0      control  -
259    s0      gate     -
260    s0      count    -
261    s3      control  -
262    s3      gate     -
263    s0      control  -
264    s0      gate     -
265    s0      count    -
266    s3      control  -
267    s3      gate     -
268    s0      control  -
269    s0      gate     -
270    s0      count    -
271    s3      control  -
272    s3      gate     -
273    s0      control  -
274    s0      gate     -
275    s0      count    -
276    s3      control  -
277    s3      gate     -
278    s0      control  -
279    s0      gate     -
280    s0      count    -
281    s3      control  -
282    s3      gate     -
283    s0      control  -
284    s0      gate     -
285    s0      count    -
286    s3      control  -
287    s3      gate     -
288    s0      control  -
289    s0      gate     -
290    s0      count    -
291    s3      control  -
292    s3      gate     -
293    s0      count    -
294    s3      control  -
295    s3      gate     -
296    s0      count    -
297    s3      control  -
298    s3      gate     -
299    s0      count    -
300    s3      control  -
301    s3      gate     -
302    s0      count    -
303    s3      control  -
304    s3      gate     -
305    s0      count    -
306    s3      control  -
307    s3      gate     -
308    s0      count    -
309    s3      control  -
310    s3      gate     -
311    s0      count    -
312    s3      control  -
313    s3      gate     -
314    s0      count    -
315    s3      control  -
316    s3      gate     -
317    s0      count    -
318    s3      control  -
319    s3      gate     -
