# seed  config  arm      budget  model
# Generated by experiments/make_schedule.py; regenerate rather than edit.
# batch 4, seeds 501-580: s3 ('control', 'gate'), 40 per arm, 80 rows, under the recalibrated s3 sigma (prereg §6, amendment 9).
501    s3      control  -       claude-sonnet-5
502    s3      gate     -       claude-sonnet-5
503    s3      control  -       claude-sonnet-5
504    s3      gate     -       claude-sonnet-5
505    s3      control  -       claude-sonnet-5
506    s3      gate     -       claude-sonnet-5
507    s3      control  -       claude-sonnet-5
508    s3      gate     -       claude-sonnet-5
509    s3      control  -       claude-sonnet-5
510    s3      gate     -       claude-sonnet-5
511    s3      control  -       claude-sonnet-5
512    s3      gate     -       claude-sonnet-5
513    s3      control  -       claude-sonnet-5
514    s3      gate     -       claude-sonnet-5
515    s3      control  -       claude-sonnet-5
516    s3      gate     -       claude-sonnet-5
517    s3      control  -       claude-sonnet-5
518    s3      gate     -       claude-sonnet-5
519    s3      control  -       claude-sonnet-5
520    s3      gate     -       claude-sonnet-5
521    s3      control  -       claude-sonnet-5
522    s3      gate     -       claude-sonnet-5
523    s3      control  -       claude-sonnet-5
524    s3      gate     -       claude-sonnet-5
525    s3      control  -       claude-sonnet-5
526    s3      gate     -       claude-sonnet-5
527    s3      control  -       claude-sonnet-5
528    s3      gate     -       claude-sonnet-5
529    s3      control  -       claude-sonnet-5
530    s3      gate     -       claude-sonnet-5
531    s3      control  -       claude-sonnet-5
532    s3      gate     -       claude-sonnet-5
533    s3      control  -       claude-sonnet-5
534    s3      gate     -       claude-sonnet-5
535    s3      control  -       claude-sonnet-5
536    s3      gate     -       claude-sonnet-5
537    s3      control  -       claude-sonnet-5
538    s3      gate     -       claude-sonnet-5
539    s3      control  -       claude-sonnet-5
540    s3      gate     -       claude-sonnet-5
541    s3      control  -       claude-sonnet-5
542    s3      gate     -       claude-sonnet-5
543    s3      control  -       claude-sonnet-5
544    s3      gate     -       claude-sonnet-5
545    s3      control  -       claude-sonnet-5
546    s3      gate     -       claude-sonnet-5
547    s3      control  -       claude-sonnet-5
548    s3      gate     -       claude-sonnet-5
549    s3      control  -       claude-sonnet-5
550    s3      gate     -       claude-sonnet-5
551    s3      control  -       claude-sonnet-5
552    s3      gate     -       claude-sonnet-5
553    s3      control  -       claude-sonnet-5
554    s3      gate     -       claude-sonnet-5
555    s3      control  -       claude-sonnet-5
556    s3      gate     -       claude-sonnet-5
557    s3      control  -       claude-sonnet-5
558    s3      gate     -       claude-sonnet-5
559    s3      control  -       claude-sonnet-5
560    s3      gate     -       claude-sonnet-5
561    s3      control  -       claude-sonnet-5
562    s3      gate     -       claude-sonnet-5
563    s3      control  -       claude-sonnet-5
564    s3      gate     -       claude-sonnet-5
565    s3      control  -       claude-sonnet-5
566    s3      gate     -       claude-sonnet-5
567    s3      control  -       claude-sonnet-5
568    s3      gate     -       claude-sonnet-5
569    s3      control  -       claude-sonnet-5
570    s3      gate     -       claude-sonnet-5
571    s3      control  -       claude-sonnet-5
572    s3      gate     -       claude-sonnet-5
573    s3      control  -       claude-sonnet-5
574    s3      gate     -       claude-sonnet-5
575    s3      control  -       claude-sonnet-5
576    s3      gate     -       claude-sonnet-5
577    s3      control  -       claude-sonnet-5
578    s3      gate     -       claude-sonnet-5
579    s3      control  -       claude-sonnet-5
580    s3      gate     -       claude-sonnet-5
