# seed  config  arm      budget  model
# Generated by experiments/make_schedule.py; regenerate rather than edit.
# batch 5, seeds 581-660: s3 ('control', 'gate'), 40 per arm, 80 rows, claude-fable-5-1 at the recalibrated s3 sigma (prereg §6, amendment 11).
581    s3      control  -       claude-fable-5-1
582    s3      gate     -       claude-fable-5-1
583    s3      control  -       claude-fable-5-1
584    s3      gate     -       claude-fable-5-1
585    s3      control  -       claude-fable-5-1
586    s3      gate     -       claude-fable-5-1
587    s3      control  -       claude-fable-5-1
588    s3      gate     -       claude-fable-5-1
589    s3      control  -       claude-fable-5-1
590    s3      gate     -       claude-fable-5-1
591    s3      control  -       claude-fable-5-1
592    s3      gate     -       claude-fable-5-1
593    s3      control  -       claude-fable-5-1
594    s3      gate     -       claude-fable-5-1
595    s3      control  -       claude-fable-5-1
596    s3      gate     -       claude-fable-5-1
597    s3      control  -       claude-fable-5-1
598    s3      gate     -       claude-fable-5-1
599    s3      control  -       claude-fable-5-1
600    s3      gate     -       claude-fable-5-1
601    s3      control  -       claude-fable-5-1
602    s3      gate     -       claude-fable-5-1
603    s3      control  -       claude-fable-5-1
604    s3      gate     -       claude-fable-5-1
605    s3      control  -       claude-fable-5-1
606    s3      gate     -       claude-fable-5-1
607    s3      control  -       claude-fable-5-1
608    s3      gate     -       claude-fable-5-1
609    s3      control  -       claude-fable-5-1
610    s3      gate     -       claude-fable-5-1
611    s3      control  -       claude-fable-5-1
612    s3      gate     -       claude-fable-5-1
613    s3      control  -       claude-fable-5-1
614    s3      gate     -       claude-fable-5-1
615    s3      control  -       claude-fable-5-1
616    s3      gate     -       claude-fable-5-1
617    s3      control  -       claude-fable-5-1
618    s3      gate     -       claude-fable-5-1
619    s3      control  -       claude-fable-5-1
620    s3      gate     -       claude-fable-5-1
621    s3      control  -       claude-fable-5-1
622    s3      gate     -       claude-fable-5-1
623    s3      control  -       claude-fable-5-1
624    s3      gate     -       claude-fable-5-1
625    s3      control  -       claude-fable-5-1
626    s3      gate     -       claude-fable-5-1
627    s3      control  -       claude-fable-5-1
628    s3      gate     -       claude-fable-5-1
629    s3      control  -       claude-fable-5-1
630    s3      gate     -       claude-fable-5-1
631    s3      control  -       claude-fable-5-1
632    s3      gate     -       claude-fable-5-1
633    s3      control  -       claude-fable-5-1
634    s3      gate     -       claude-fable-5-1
635    s3      control  -       claude-fable-5-1
636    s3      gate     -       claude-fable-5-1
637    s3      control  -       claude-fable-5-1
638    s3      gate     -       claude-fable-5-1
639    s3      control  -       claude-fable-5-1
640    s3      gate     -       claude-fable-5-1
641    s3      control  -       claude-fable-5-1
642    s3      gate     -       claude-fable-5-1
643    s3      control  -       claude-fable-5-1
644    s3      gate     -       claude-fable-5-1
645    s3      control  -       claude-fable-5-1
646    s3      gate     -       claude-fable-5-1
647    s3      control  -       claude-fable-5-1
648    s3      gate     -       claude-fable-5-1
649    s3      control  -       claude-fable-5-1
650    s3      gate     -       claude-fable-5-1
651    s3      control  -       claude-fable-5-1
652    s3      gate     -       claude-fable-5-1
653    s3      control  -       claude-fable-5-1
654    s3      gate     -       claude-fable-5-1
655    s3      control  -       claude-fable-5-1
656    s3      gate     -       claude-fable-5-1
657    s3      control  -       claude-fable-5-1
658    s3      gate     -       claude-fable-5-1
659    s3      control  -       claude-fable-5-1
660    s3      gate     -       claude-fable-5-1
