# seed  config  arm      budget  model
# Generated by experiments/make_schedule.py; regenerate rather than edit.
# batch 5, seeds 581-660: s3 ('control', 'gate'), 40 per arm, 80 rows, claude-opus-5 at the recalibrated s3 sigma (prereg §6, amendments 11 and 12). The other model in B5_MODELS runs these same seeds, paired by DGP draw.
581    s3      control  -       claude-opus-5
582    s3      gate     -       claude-opus-5
583    s3      control  -       claude-opus-5
584    s3      gate     -       claude-opus-5
585    s3      control  -       claude-opus-5
586    s3      gate     -       claude-opus-5
587    s3      control  -       claude-opus-5
588    s3      gate     -       claude-opus-5
589    s3      control  -       claude-opus-5
590    s3      gate     -       claude-opus-5
591    s3      control  -       claude-opus-5
592    s3      gate     -       claude-opus-5
593    s3      control  -       claude-opus-5
594    s3      gate     -       claude-opus-5
595    s3      control  -       claude-opus-5
596    s3      gate     -       claude-opus-5
597    s3      control  -       claude-opus-5
598    s3      gate     -       claude-opus-5
599    s3      control  -       claude-opus-5
600    s3      gate     -       claude-opus-5
601    s3      control  -       claude-opus-5
602    s3      gate     -       claude-opus-5
603    s3      control  -       claude-opus-5
604    s3      gate     -       claude-opus-5
605    s3      control  -       claude-opus-5
606    s3      gate     -       claude-opus-5
607    s3      control  -       claude-opus-5
608    s3      gate     -       claude-opus-5
609    s3      control  -       claude-opus-5
610    s3      gate     -       claude-opus-5
611    s3      control  -       claude-opus-5
612    s3      gate     -       claude-opus-5
613    s3      control  -       claude-opus-5
614    s3      gate     -       claude-opus-5
615    s3      control  -       claude-opus-5
616    s3      gate     -       claude-opus-5
617    s3      control  -       claude-opus-5
618    s3      gate     -       claude-opus-5
619    s3      control  -       claude-opus-5
620    s3      gate     -       claude-opus-5
621    s3      control  -       claude-opus-5
622    s3      gate     -       claude-opus-5
623    s3      control  -       claude-opus-5
624    s3      gate     -       claude-opus-5
625    s3      control  -       claude-opus-5
626    s3      gate     -       claude-opus-5
627    s3      control  -       claude-opus-5
628    s3      gate     -       claude-opus-5
629    s3      control  -       claude-opus-5
630    s3      gate     -       claude-opus-5
631    s3      control  -       claude-opus-5
632    s3      gate     -       claude-opus-5
633    s3      control  -       claude-opus-5
634    s3      gate     -       claude-opus-5
635    s3      control  -       claude-opus-5
636    s3      gate     -       claude-opus-5
637    s3      control  -       claude-opus-5
638    s3      gate     -       claude-opus-5
639    s3      control  -       claude-opus-5
640    s3      gate     -       claude-opus-5
641    s3      control  -       claude-opus-5
642    s3      gate     -       claude-opus-5
643    s3      control  -       claude-opus-5
644    s3      gate     -       claude-opus-5
645    s3      control  -       claude-opus-5
646    s3      gate     -       claude-opus-5
647    s3      control  -       claude-opus-5
648    s3      gate     -       claude-opus-5
649    s3      control  -       claude-opus-5
650    s3      gate     -       claude-opus-5
651    s3      control  -       claude-opus-5
652    s3      gate     -       claude-opus-5
653    s3      control  -       claude-opus-5
654    s3      gate     -       claude-opus-5
655    s3      control  -       claude-opus-5
656    s3      gate     -       claude-opus-5
657    s3      control  -       claude-opus-5
658    s3      gate     -       claude-opus-5
659    s3      control  -       claude-opus-5
660    s3      gate     -       claude-opus-5
