run_id,arm,model,config,budget,sigma,seed_index,batch,config_recovered,power_at_open,fingerprint,worker,n_evaluated,n_tool_use,n_refused,graded,status,submitted_sr_is,sr_deflated,critical_value,p_value,stated_mean,stated_sd,oos,considered,n_status_calls,status_positions,last_cleared,has_submission,submitted_spec,submitted_features,submitted_signs,usage_missing,models_seen,non_mcp_tools,rate_limit_rejected,input_tokens,output_tokens,cache_read,cache_creation,thinking_tokens,cost_usd,wall_seconds
"""s0_T5000_control_000""","""control""","""claude-sonnet-5""","""s0""",null,1.0,0,"""b1""",false,0.4591319469069971,null,null,107,109,1,true,"""FAIL""",0.7896525222439525,-0.03301058884932939,1.02306116797702,0.5952404759524048,0.35,0.3,0.8797418682643257,0,0,[],null,true,"""42:-f26+f7+-f24""","[26, 7, 24]","[-1, 1, -1]",false,"[""claude-sonnet-5""]",[],false,16,11303,149750,28242,0,0.25598,129.43221712112427
"""s0_T5000_gate_001""","""gate""","""claude-sonnet-5""","""s0""",null,1.0,1,"""b1""",false,0.4607491117722638,null,null,201,208,1,true,"""FAIL""",0.7327140756041176,-0.09107898640769996,1.0221456073321837,0.7808219178082192,0.35,0.25,0.5818500796696561,0,3,"[0.5480769230769231, 0.8701923076923077, 0.9951923076923077]",false,true,"""88:-f11+-f28+-f12""","[11, 28, 12]","[-1, -1, -1]",false,"[""claude-sonnet-5""]",[],false,46,21518,620492,44003,0,0.5153824,232.6005938053131
"""s0_T5000_control_002""","""control""","""claude-sonnet-5""","""s0""",null,1.0,2,"""b1""",false,0.4604673455157741,null,null,215,220,4,true,"""FAIL""",0.9789383730806873,0.1577163312672809,1.022305102908749,0.0928907109289071,0.5,0.35,-0.41062136852856024,0,0,[],null,true,"""147:-f30+-f12+-f16""","[30, 12, 16]","[-1, -1, -1]",false,"[""claude-sonnet-5""]",[],false,40,21749,559396,34027,0,0.46555719999999995,193.43575406074524
"""s0_T5000_gate_003""","""gate""","""claude-sonnet-5""","""s0""",null,1.0,3,"""b1""",false,0.45580870809495505,null,null,108,114,3,true,"""FAIL""",0.892918418725849,0.06929577604377968,1.0249438445391716,0.25937406259374063,0.4,0.35,-1.4721064489126297,0,1,[0.6754385964912281],false,true,"""60:f26+f16+f5""","[26, 16, 5]","[1, 1, 1]",false,"[""claude-sonnet-5""]",[],false,18,11128,172961,17746,0,0.21689219999999998,435.0012571811676
"""s0_T5000_control_004""","""control""","""claude-sonnet-5""","""s0""",null,1.0,4,"""b1""",false,0.47935848766417577,null,null,74,75,0,true,"""FAIL""",0.9395342159655273,0.11801716721651723,1.011632446113394,0.1471852814718528,0.45,0.35,0.052812721578475864,0,0,[],null,true,"""45:f9+f8+-f20""","[9, 8, 20]","[1, 1, -1]",false,"[""claude-sonnet-5""]",[],false,12,7248,90463,13408,0,0.14422859999999998,89.21556901931763
"""s0_T5000_gate_005""","""gate""","""claude-sonnet-5""","""s0""",null,1.0,5,"""b1""",false,0.4660834101571394,null,null,112,116,0,true,"""FAIL""",0.7843391890171408,-0.03831129670414102,1.0191281063250561,0.6182381761823817,0.45,0.35,-0.2452150873702346,0,2,"[0.5172413793103449, 0.9396551724137931]",false,true,"""44:f12+-f11+f31""","[12, 11, 31]","[1, -1, 1]",false,"[""claude-sonnet-5""]",[],false,26,11505,266410,18347,0,0.24177200000000001,113.25147104263306
"""s0_T5000_control_006""","""control""","""claude-sonnet-5""","""s0""",null,1.0,6,"""b1""",false,0.46026146092862175,null,null,79,81,1,true,"""FAIL""",0.8598822080223159,0.037239473530623846,1.0224216522854872,0.35326467353264673,0.4,0.35,-0.19740241174204168,0,0,[],null,true,"""47:-f28+f30+f9""","[28, 30, 9]","[-1, 1, 1]",false,"[""claude-sonnet-5""]",[],false,16,8514,147226,13596,0,0.16900120000000002,96.59556889533997
"""s0_T5000_gate_007""","""gate""","""claude-sonnet-5""","""s0""",null,1.0,7,"""b1""",false,0.4676588318528444,null,null,185,193,3,true,"""FAIL""",0.6948498321417121,-0.12740094760243525,1.018237606948751,0.8707129287071292,0.35,0.3,-0.6449141855386303,0,2,"[0.42487046632124353, 0.7357512953367875]",false,true,"""123:-f8+-f19+f2""","[8, 19, 2]","[-1, -1, 1]",false,"[""claude-sonnet-5""]",[],false,40,18981,519459,30024,0,0.41387779999999996,162.254812002182
"""s0_T5000_control_008""","""control""","""claude-sonnet-5""","""s0""",null,1.0,8,"""b1""",false,0.4682628722009871,null,null,90,92,1,true,"""FAIL""",0.9064592023563836,0.08347945115978683,1.0178962528074293,0.22057794220577942,0.5,0.3,0.363699860033509,0,0,[],null,true,"""55:f5+-f33+f20""","[5, 33, 20]","[1, -1, 1]",false,"[""claude-sonnet-5""]",[],false,14,8868,54848,14491,0,0.1576416,90.60382890701294
"""s0_T5000_gate_009""","""gate""","""claude-sonnet-5""","""s0""",null,1.0,9,"""b1""",false,0.45897532261735285,null,null,106,111,1,true,"""FAIL""",0.750057019624865,-0.07270912080754743,1.0231498611781518,0.7279272072792721,0.25,0.35,-0.21652330369455947,0,2,"[0.7027027027027027, 0.990990990990991]",false,true,"""50:f37+-f2+-f26""","[37, 2, 26]","[1, -1, -1]",false,"[""claude-sonnet-5""]",[],false,26,11384,120028,18233,0,0.2108296,133.77517104148865
"""s0_T5000_control_010""","""control""","""claude-sonnet-5""","""s0""",null,1.0,10,"""b1""",false,0.46928796105825726,null,null,73,74,0,true,"""FAIL""",0.8074310102498722,-0.01552342579715682,1.0173170505931084,0.5345465453454654,0.45,0.35,-0.541720624002069,0,0,[],null,true,"""46:f17+f3+f33""","[17, 3, 33]","[1, 1, 1]",false,"[""claude-sonnet-5""]",[],false,12,7262,39377,11934,0,0.12825540000000002,94.01497483253479
"""s0_T5000_gate_011""","""gate""","""claude-sonnet-5""","""s0""",null,1.0,11,"""b1""",false,0.4619682136432245,null,null,169,174,1,true,"""FAIL""",0.6383029319955714,-0.1856275379267741,1.021455654479997,0.9584041595840416,0.35,0.25,0.4225493670297887,0,2,"[0.5, 0.9367816091954023]",false,true,"""48:f33+f24+-f30""","[33, 24, 30]","[1, 1, -1]",false,"[""claude-sonnet-5""]",[],false,36,17828,259157,27772,0,0.3412714000000001,183.12286901474
"""s0_T5000_control_012""","""control""","""claude-sonnet-5""","""s0""",null,1.0,12,"""b1""",false,0.4557115116414195,null,null,70,72,1,true,"""FAIL""",0.7442540847595992,-0.07796318244651046,1.024998933852784,0.7431256874312568,0.45,0.25,0.43806194236737933,0,0,[],null,true,"""47:-f8+-f22+-f10""","[8, 22, 10]","[-1, -1, -1]",false,"[""claude-sonnet-5""]",[],false,12,7194,38386,11758,0,0.12667319999999999,98.71232008934021
"""s0_T5000_gate_013""","""gate""","""claude-sonnet-5""","""s0""",null,1.0,13,"""b1""",false,0.45565613824090423,null,null,113,118,2,true,"""FAIL""",1.0229328376872995,0.20029891529684019,1.0250303192355588,0.0514948505149485,0.5,0.35,-0.37889548891649705,0,1,[0.5677966101694916],false,true,"""46:-f22+f27+f1""","[22, 27, 1]","[-1, 1, 1]",false,"[""claude-sonnet-5""]",[],false,28,11875,134181,19148,0,0.2222342,140.28583908081055
"""s0_T5000_control_014""","""control""","""claude-sonnet-5""","""s0""",null,1.0,14,"""b1""",false,0.4553343867818247,null,null,88,90,1,true,"""FAIL""",0.6925429675277652,-0.13081534544857987,1.0252126961287507,0.8767123287671232,0.45,0.25,0.5896261681350842,0,0,[],null,true,"""51:-f1+-f24+f8""","[1, 24, 8]","[-1, -1, 1]",false,"[""claude-sonnet-5""]",[],false,14,8815,56022,14361,0,0.15682639999999998,105.72242474555969
"""s0_T5000_gate_015""","""gate""","""claude-sonnet-5""","""s0""",null,1.0,15,"""b1""",false,0.4678267360975856,null,null,124,131,4,true,"""FAIL""",0.9585235326176877,0.13742733948575736,1.0181427170296242,0.12048795120487951,0.45,0.35,-0.11548533928828879,0,2,"[0.48091603053435117, 0.9923664122137404]",false,true,"""52:f20+-f2+-f17""","[2, 17, 20]","[-1, -1, 1]",false,"[""claude-sonnet-5""]",[],false,22,12898,128111,20753,0,0.23765820000000004,137.5592622756958
"""s0_T5000_control_016""","""control""","""claude-sonnet-5""","""s0""",null,1.0,16,"""b1""",false,0.46522754134590016,null,null,77,78,0,true,"""FAIL""",0.9995936847757595,0.17882660173823817,1.0196120070164763,0.0660933906609339,0.5,0.35,-0.43420103835448526,0,0,[],null,true,"""46:f1+-f23+f14""","[1, 14, 23]","[1, 1, -1]",false,"[""claude-sonnet-5""]",[],false,14,7674,51281,12673,0,0.13771619999999998,582.3620691299438
"""s0_T5000_gate_017""","""gate""","""claude-sonnet-5""","""s0""",null,1.0,17,"""b1""",false,0.4621012826118689,null,null,217,229,8,true,"""FAIL""",0.8568872085724872,0.03514686684229518,1.0213803562211117,0.3655634436556344,0.35,0.35,-0.387255262677379,0,2,"[0.5545851528384279, 0.9650655021834061]",false,true,"""82:f35+-f4+-f1""","[35, 4, 1]","[1, -1, -1]",false,"[""claude-sonnet-5""]",[],false,42,22516,408179,35646,0,0.4494638,218.49081301689148
"""s0_T5000_control_018""","""control""","""claude-sonnet-5""","""s0""",null,1.0,18,"""b1""",false,0.4581638369291191,null,null,103,105,1,true,"""FAIL""",0.9001803574531714,0.07631366121537753,1.0236094473451285,0.24777522247775222,0.5,0.3,-0.2586019566352524,0,0,[],null,true,"""56:-f15+f17+f24""","[15, 17, 24]","[-1, 1, 1]",false,"[""claude-sonnet-5""]",[],false,18,10445,87387,16758,0,0.1889954,123.97285413742065
"""s0_T5000_gate_019""","""gate""","""claude-sonnet-5""","""s0""",null,1.0,19,"""b1""",false,0.45099628343359277,null,null,140,148,4,true,"""FAIL""",0.6602718368381787,-0.16284345582330217,1.0276733148198076,0.9301069893010699,0.25,0.25,-1.0709317474764746,0,2,"[0.6216216216216216, 0.9121621621621622]",false,true,"""66:-f39+f17+f21""","[39, 17, 21]","[-1, 1, 1]",false,"[""claude-sonnet-5""]",[],false,34,14738,220983,23630,0,0.2861646,167.9961416721344
"""s0_T5000_control_020""","""control""","""claude-sonnet-5""","""s0""",null,1.0,20,"""b1""",false,0.46185318884628535,null,null,81,83,1,true,"""FAIL""",0.8576563987707981,0.0354535568602915,1.0215207442247423,0.36426357364263573,0.5,0.35,0.7173050521528477,0,0,[],null,true,"""48:-f4+f5+-f17""","[4, 17, 5]","[-1, -1, 1]",false,"[""claude-sonnet-5""]",[],false,16,8592,65524,13853,0,0.1544688,122.23187303543091
"""s0_T5000_gate_021""","""gate""","""claude-sonnet-5""","""s0""",null,1.0,21,"""b1""",false,0.46031767140937696,null,null,104,110,3,true,"""PASS""",1.1649971986006633,0.3420637679111761,1.022389831450596,0.0034996500349965005,0.6,0.35,-0.562674988003523,0,1,[0.7363636363636363],true,true,"""74:-f7+f32+-f16""","[7, 32, 16]","[-1, 1, -1]",false,"[""claude-sonnet-5""]",[],false,24,10996,113613,17885,0,0.2042706,135.67090892791748
"""s0_T5000_control_022""","""control""","""claude-sonnet-5""","""s0""",null,1.0,22,"""b1""",false,0.4556926680684347,null,null,96,98,1,true,"""FAIL""",0.8715911921813477,0.046996644382583774,1.0250096142464915,0.32426757324267574,0.45,0.35,0.4792034289654547,0,0,[],null,true,"""61:f28+f30+f35""","[28, 30, 35]","[1, 1, 1]",false,"[""claude-sonnet-5""]",[],false,14,9297,58070,15265,0,0.16567199999999999,112.85349893569946
"""s0_T5000_gate_023""","""gate""","""claude-sonnet-5""","""s0""",null,1.0,23,"""b1""",false,0.4584119686979148,null,null,151,161,6,true,"""FAIL""",0.8470705511968455,0.02416767765273098,1.023468907144011,0.393960603939606,0.35,0.3,-1.1976357254672214,0,2,"[0.422360248447205, 0.9440993788819876]",false,true,"""111:-f16+-f23+-f15""","[16, 23, 15]","[-1, -1, -1]",false,"[""claude-sonnet-5""]",[],false,40,16101,280099,25898,0,0.32070180000000004,179.79973220825195
"""s0_T5000_control_024""","""control""","""claude-sonnet-5""","""s0""",null,1.0,24,"""b1""",false,0.46454167736979834,null,null,70,74,3,true,"""FAIL""",0.8160137794984402,-0.006660292964379644,1.019999854010768,0.5036496350364964,0.45,0.35,-0.4006401041488627,0,0,[],null,true,"""45:f25+-f15+-f39""","[25, 15, 39]","[1, -1, -1]",false,"[""claude-sonnet-5""]",[],false,14,7328,49442,12239,0,0.13215239999999998,111.9931640625
"""s0_T5000_gate_025""","""gate""","""claude-sonnet-5""","""s0""",null,1.0,25,"""b1""",false,0.4587414012215589,null,null,139,145,1,true,"""FAIL""",0.7617111445322137,-0.061950789839375076,1.0232823329031278,0.6934306569343066,0.4,0.35,-0.5417172588398689,0,2,"[0.4827586206896552, 0.9241379310344827]",false,true,"""44:f24+-f11+f36""","[24, 11, 36]","[1, -1, 1]",false,"[""claude-sonnet-5""]",[],false,32,14667,200727,23230,0,0.2797994000000001,171.9075789451599
"""s0_T5000_control_026""","""control""","""claude-sonnet-5""","""s0""",null,1.0,26,"""b1""",false,0.46961522735717887,null,null,85,86,0,true,"""FAIL""",0.8718139379584862,0.04928795704051647,1.0171321609183297,0.31796820317968205,0.45,0.35,0.42467495407904365,0,0,[],null,true,"""50:f23+-f22+f18""","[23, 22, 18]","[1, -1, 1]",false,"[""claude-sonnet-5""]",[],false,14,8700,54874,14035,0,0.15414279999999997,113.0487060546875
"""s0_T5000_gate_027""","""gate""","""claude-sonnet-5""","""s0""",null,1.0,27,"""b1""",false,0.4651899914241,null,null,134,138,1,true,"""FAIL""",0.6640963963707873,-0.15849237534823635,1.0196332394778573,0.9247075292470753,0.3,0.25,-0.7274243590359166,0,1,[0.7391304347826086],false,true,"""51:f3+-f27+f11""","[3, 27, 11]","[1, -1, 1]",false,"[""claude-sonnet-5""]",[],false,28,13833,169325,21922,0,0.259939,157.12567520141602
"""s0_T5000_control_028""","""control""","""claude-sonnet-5""","""s0""",null,1.0,28,"""b1""",false,0.4634860554717354,null,null,73,74,0,true,"""FAIL""",0.6951956636132667,-0.12778965838170464,1.0205969110497406,0.8675132486751325,0.45,0.25,-0.4547915524958199,0,0,[],null,true,"""43:f6+f38+f4""","[6, 38, 4]","[1, 1, 1]",false,"[""claude-sonnet-5""]",[],false,12,7119,38095,11808,0,0.126065,101.2852931022644
"""s0_T5000_gate_029""","""gate""","""claude-sonnet-5""","""s0""",null,1.0,29,"""b1""",false,0.45704065109951436,null,null,125,129,1,true,"""FAIL""",0.7912773169822688,-0.031266447430174704,1.024245728744809,0.5906409359064093,0.35,0.3,-0.4019171196093153,0,1,[0.7906976744186046],false,true,"""73:f32+f1+-f17""","[32, 1, 17]","[1, 1, -1]",false,"[""claude-sonnet-5""]",[],false,26,12837,147195,20610,0,0.24030100000000001,142.72018933296204
"""s0_T5000_control_030""","""control""","""claude-sonnet-5""","""s0""",null,1.0,30,"""b1""",false,0.4625837368257292,null,null,76,77,0,true,"""FAIL""",0.6691661168973466,-0.15204151470379745,1.0211073752798603,0.9145085491450855,0.35,0.3,-0.2714499172645548,0,0,[],null,true,"""48:f21+f18+-f20""","[21, 18, 20]","[1, 1, -1]",false,"[""claude-sonnet-5""]",[],false,14,7677,50209,12641,0,0.13740380000000002,104.15044665336609
