run_id,arm,model,config,budget,sigma,seed_index,batch,config_recovered,power_at_open,fingerprint,worker,n_evaluated,n_tool_use,n_refused,graded,status,submitted_sr_is,sr_deflated,critical_value,p_value,stated_mean,stated_sd,oos,considered,n_status_calls,status_positions,last_cleared,submitted,usage_missing,models_seen,non_mcp_tools,rate_limit_rejected,input_tokens,output_tokens,cache_read,cache_creation,thinking_tokens,cost_usd,wall_seconds
"""s0_T5000_sonnet_control_320""","""control""","""claude-sonnet-5""","""s0""",null,1.0,320,"""b3""",false,0.4625795504082604,"""3c0dca81a87d0a5c""",0,71,72,0,true,"""FAIL""",0.8662033236272629,0.04240901832148225,1.0211097438927557,0.3381661833816618,0.55,0.25,-0.8966817552647643,1,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,12,7077,102511,11652,0,0.13790419999999998,145.2994270324707
"""s0_T5000_fable_control_321""","""control""","""claude-fable-5-1""","""s0""",null,1.0,321,"""b3""",false,0.45469053158223394,"""3c0dca81a87d0a5c""",1,42,43,0,true,"""FAIL""",0.9108914059015802,0.08825751951766714,1.0255776995889396,0.2126787321267873,0.12,0.3,-0.11040426019712159,0,0,[],null,true,false,"[""claude-fable-5-1""]",[],false,8,5312,47893,18967,1324,0.65699325,140.10490131378174
"""s0_T5000_sonnet_gate_322""","""gate""","""claude-sonnet-5""","""s0""",null,1.0,322,"""b3""",false,0.46630960316436576,"""3c0dca81a87d0a5c""",0,219,235,12,true,"""FAIL""",0.8184002426404178,-0.004124561351120382,1.0190002336982111,0.49165083491650835,0.4,0.3,0.43212627400840464,7,2,"[0.5957446808510638, 0.9148936170212766]",false,true,false,"[""claude-sonnet-5""]",[],false,44,23047,653666,36237,0,0.5062392,243.42356514930725
"""s0_T5000_fable_gate_323""","""gate""","""claude-fable-5-1""","""s0""",null,1.0,323,"""b3""",false,0.45242468233714506,"""3c0dca81a87d0a5c""",1,43,45,0,true,"""FAIL""",0.805502531213406,-0.018365098166672866,1.026862759669047,0.5438456154384561,0.05,0.4,-0.7684004770498621,0,1,[0.9777777777777777],false,true,false,"[""claude-fable-5-1""]",[],false,8,4794,58389,7935,772,0.41307725,112.22171401977539
"""s0_T5000_sonnet_pushed_324""","""pushed""","""claude-sonnet-5""","""s0""",null,1.0,324,"""b3""",false,0.4780905058593547,"""3c0dca81a87d0a5c""",0,109,110,0,true,"""FAIL""",0.7660929279696108,-0.054165461809287385,1.0123477111496935,0.6702329767023297,0.25,0.35,0.6295499306927018,1,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,14,10819,146146,19934,0,0.2171832,141.32837915420532
"""s0_T5000_fable_pushed_325""","""pushed""","""claude-fable-5-1""","""s0""",null,1.0,325,"""b3""",false,0.4616775123057092,"""3c0dca81a87d0a5c""",1,45,46,0,true,"""FAIL""",0.8435408880337164,0.020355570357593278,1.021620158807673,0.41145885411458855,0.2,0.4,-0.391421501523195,0,0,[],null,true,false,"[""claude-fable-5-1""]",[],false,10,5006,74058,9758,954,0.4640745,126.06659507751465
"""s0_T5000_sonnet_control_326""","""control""","""claude-sonnet-5""","""s0""",null,1.0,326,"""b3""",false,0.45963158969571977,"""3c0dca81a87d0a5c""",2,88,89,0,true,"""FAIL""",0.5487496565611026,-0.2741418036309393,1.0227782542023385,0.9964003599640036,0.35,0.18,-0.5752973187170624,2,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,14,8703,128243,14041,0,0.16887059999999995,149.45379209518433
"""s0_T5000_fable_control_327""","""control""","""claude-fable-5-1""","""s0""",null,1.0,327,"""b3""",false,0.4621813245879421,"""3c0dca81a87d0a5c""",3,44,45,0,true,"""FAIL""",0.7386233711686967,-0.08582016448161234,1.0213350649140955,0.7629237076292371,0.08,0.3,-0.05504012959322604,1,0,[],null,true,false,"[""claude-fable-5-1""]",[],false,8,4924,47802,18768,854,0.6335905000000002,133.79269981384277
"""s0_T5000_sonnet_gate_328""","""gate""","""claude-sonnet-5""","""s0""",null,1.0,328,"""b3""",false,0.46430147160072355,"""3c0dca81a87d0a5c""",2,118,125,3,true,"""FAIL""",0.7074508514976051,-0.11565798093397694,1.020135701219403,0.8409159084091591,0.35,0.3,-0.01890038299952354,1,2,"[0.56, 0.992]",false,true,false,"[""claude-sonnet-5""]",[],false,24,12163,255973,19482,0,0.2508006,176.99490189552307
"""s0_T5000_fable_gate_329""","""gate""","""claude-fable-5-1""","""s0""",null,1.0,329,"""b3""",false,0.4606714438470385,"""3c0dca81a87d0a5c""",3,47,49,0,true,"""FAIL""",0.7418202425228754,-0.08217451180007651,1.022189570636765,0.7556244375562444,0.05,0.3,0.7897785475803205,0,1,[0.8367346938775511],false,true,false,"[""claude-fable-5-1""]",[],false,10,5648,67281,19657,1117,0.6924602499999999,125.92211723327637
