run_id,arm,model,config,budget,sigma,seed_index,batch,config_recovered,power_at_open,fingerprint,worker,n_evaluated,n_tool_use,n_refused,graded,status,submitted_sr_is,sr_deflated,critical_value,p_value,stated_mean,stated_sd,oos,considered,n_status_calls,status_positions,last_cleared,submitted,usage_missing,models_seen,non_mcp_tools,rate_limit_rejected,input_tokens,output_tokens,cache_read,cache_creation,thinking_tokens,cost_usd,wall_seconds
"""s3_T5000_sonnet_control_501""","""control""","""claude-sonnet-5""","""s3""",null,194.40679000487614,501,"""b4""",false,0.46247980207782124,"""3e3af01a319b2c60""",0,70,71,0,true,"""PASS""",1.1839192858501195,0.36010171240662525,1.021166180712519,0.0032996700329967,0.55,0.35,1.1211819123540727,2,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,12,6903,37457,11430,0,0.1222654,95.10885310173035
"""s3_T5000_sonnet_gate_502""","""gate""","""claude-sonnet-5""","""s3""",null,194.40679000487614,502,"""b4""",false,0.4694405446765822,"""62ea4bfa9d02d603""",0,73,76,0,true,"""PASS""",1.2065607458060479,0.3860908561522286,1.0172308467569098,0.001999800019998,0.65,0.4,0.7327670246232115,3,1,[0.9473684210526315],true,true,false,"[""claude-sonnet-5""]",[],false,18,7239,56927,12296,0,0.1329954,113.89597415924072
"""s3_T5000_sonnet_control_503""","""control""","""claude-sonnet-5""","""s3""",null,194.40679000487614,503,"""b4""",false,0.4637018807724964,"""3e3af01a319b2c60""",1,69,71,1,true,"""FAIL""",0.962449758454935,0.1396640337923989,1.0204748291258512,0.11548845115488451,0.55,0.3,1.223254057102399,3,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,14,6875,47772,11580,0,0.1246524,96.68614220619202
"""s3_T5000_sonnet_gate_504""","""gate""","""claude-sonnet-5""","""s3""",null,194.40679000487614,504,"""b4""",false,0.4520976392323757,"""62ea4bfa9d02d603""",1,75,78,0,true,"""PASS""",1.3082343708135067,0.48346148382204057,1.027048311385707,0.00019998000199980003,0.75,0.4,0.48769330533771216,3,1,[0.9230769230769231],true,true,false,"[""claude-sonnet-5""]",[],false,16,7374,52907,12525,0,0.1344534,114.29039287567139
"""s3_T5000_sonnet_control_505""","""control""","""claude-sonnet-5""","""s3""",null,194.40679000487614,505,"""b4""",false,0.4620198319720141,"""3e3af01a319b2c60""",2,100,102,1,true,"""FAIL""",0.9623427882288415,0.14021426244470492,1.0214264455042505,0.1146885311468853,0.5,0.35,1.144718314018431,2,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,16,9895,71650,16082,0,0.17764000000000002,112.45379400253296
"""s3_T5000_sonnet_gate_506""","""gate""","""claude-sonnet-5""","""s3""",null,194.40679000487614,506,"""b4""",false,0.46042713340626606,"""62ea4bfa9d02d603""",2,170,176,1,true,"""FAIL""",0.9324174966543037,0.10979367584700495,1.022327866142724,0.16598340165983402,0.25,0.35,0.26171258888418614,7,3,"[0.4772727272727273, 0.75, 0.9943181818181818]",false,true,false,"[""claude-sonnet-5""]",[],false,36,17205,269148,27433,0,0.3356836,207.69711995124817
"""s3_T5000_sonnet_control_507""","""control""","""claude-sonnet-5""","""s3""",null,194.40679000487614,507,"""b4""",false,0.4658985740031669,"""3e3af01a319b2c60""",3,77,79,1,true,"""PASS""",1.6690851976642405,0.846879292493274,1.0192326034736692,9.999000099990002e-05,1.0,0.5,0.6478474064987145,3,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,12,7611,39937,12652,0,0.1347294,99.95382118225098
"""s3_T5000_sonnet_gate_508""","""gate""","""claude-sonnet-5""","""s3""",null,194.40679000487614,508,"""b4""",false,0.4620385671716396,"""62ea4bfa9d02d603""",3,208,212,0,true,"""FAIL""",0.7987848287072615,-0.023481604500407705,1.0214158440109187,0.5569443055694431,0.35,0.3,0.24568776595317002,6,2,"[0.4858490566037736, 0.7594339622641509]",false,true,false,"[""claude-sonnet-5""]",[],false,50,21407,438763,33643,0,0.4364946,248.11308693885803
"""s3_T5000_sonnet_control_509""","""control""","""claude-sonnet-5""","""s3""",null,194.40679000487614,509,"""b4""",false,0.4617785833881405,"""62ea4bfa9d02d603""",0,72,73,0,true,"""FAIL""",0.9227427846564961,0.10177299852762245,1.0215629626102678,0.1872812718728127,0.55,0.3,0.4771568268698656,4,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,12,6898,37397,11635,0,0.12302339999999999,130.3421413898468
"""s3_T5000_sonnet_gate_510""","""gate""","""claude-sonnet-5""","""s3""",null,194.40679000487614,510,"""b4""",false,0.45921661152648735,"""62ea4bfa9d02d603""",0,163,167,0,true,"""FAIL""",1.014753110478803,0.19170858997956952,1.0230132255937625,0.057694230576942306,0.55,0.35,-0.39276062306319365,3,2,"[0.7544910179640718, 0.9940119760479041]",false,true,false,"[""claude-sonnet-5""]",[],false,32,16315,218464,25942,0,0.3106748000000001,173.9920220375061
"""s3_T5000_sonnet_control_511""","""control""","""claude-sonnet-5""","""s3""",null,194.40679000487614,511,"""b4""",false,0.4610930485106607,"""62ea4bfa9d02d603""",1,81,84,1,true,"""FAIL""",0.6984355802669667,-0.12345128524268245,1.0219509348701288,0.8552144785521448,0.4,0.25,0.31118016695462963,1,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,16,8519,63916,14553,0,0.1562172,833.6206150054932
"""s3_T5000_sonnet_gate_512""","""gate""","""claude-sonnet-5""","""s3""",null,194.40679000487614,512,"""b4""",false,0.4590320061152253,"""62ea4bfa9d02d603""",1,71,74,0,true,"""PASS""",1.1040663600796952,0.28160112010635785,1.023117762031902,0.011698830116988301,0.65,0.35,0.6732982575582672,3,1,[0.8918918918918919],true,true,false,"[""claude-sonnet-5""]",[],false,16,6921,51670,11870,0,0.127056,145.5715889930725
"""s3_T5000_sonnet_control_513""","""control""","""claude-sonnet-5""","""s3""",null,194.40679000487614,513,"""b4""",false,0.4664776197710834,"""62ea4bfa9d02d603""",2,75,76,0,true,"""PASS""",1.2537895482436097,0.43371970860767406,1.0189052536459646,0.0007999200079992001,0.7,0.4,1.447138170431929,2,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,12,7229,39452,12064,0,0.1284604,118.35385918617249
"""s3_T5000_sonnet_gate_514""","""gate""","""claude-sonnet-5""","""s3""",null,194.40679000487614,514,"""b4""",false,0.45620443123458404,"""62ea4bfa9d02d603""",2,137,149,7,true,"""PASS""",1.037570808255034,0.21312222992835583,1.0247195707646115,0.042495750424957505,0.55,0.35,1.0001008481601446,9,2,"[0.7046979865771812, 0.9731543624161074]",true,true,false,"[""claude-sonnet-5""]",[],false,30,14423,191375,23410,0,0.27620500000000003,189.24679899215698
"""s3_T5000_sonnet_control_515""","""control""","""claude-sonnet-5""","""s3""",null,194.40679000487614,515,"""b4""",false,0.47041061609906965,"""62ea4bfa9d02d603""",3,80,81,0,true,"""PASS""",1.2487546811387196,0.4273355171625861,1.0166828527299525,0.0004999500049995,0.75,0.35,1.1892364499450865,1,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,12,7915,38424,12983,0,0.1387908,119.4009120464325
"""s3_T5000_sonnet_gate_516""","""gate""","""claude-sonnet-5""","""s3""",null,194.40679000487614,516,"""b4""",false,0.4640251101040513,"""62ea4bfa9d02d603""",3,121,126,1,true,"""PASS""",1.0400030818784545,0.21635207398045542,1.0202920052311877,0.03519648035196481,0.65,0.35,0.10035515580943634,3,2,"[0.46825396825396826, 0.8253968253968254]",true,true,false,"[""claude-sonnet-5""]",[],false,26,12299,137382,19943,0,0.2302904,174.33558106422424
"""s3_T5000_sonnet_control_517""","""control""","""claude-sonnet-5""","""s3""",null,194.40679000487614,517,"""b4""",false,0.46297097683949673,"""62ea4bfa9d02d603""",0,60,62,1,true,"""PASS""",1.314702388847683,0.4928693215314426,1.020888290729926,0.00029997000299970003,0.7,0.4,1.2013104954272673,1,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,12,5993,35295,10208,0,0.107845,121.43634819984436
"""s3_T5000_sonnet_gate_518""","""gate""","""claude-sonnet-5""","""s3""",null,194.40679000487614,518,"""b4""",false,0.4597252887455965,"""62ea4bfa9d02d603""",0,108,112,1,true,"""FAIL""",0.9862622726517378,0.16330741504954216,1.0227252028278941,0.08489151084891511,0.75,0.4,0.9627759820831135,5,1,[0.9196428571428571],true,true,false,"[""claude-sonnet-5""]",[],false,22,10707,97600,17611,0,0.197078,150.34371399879456
"""s3_T5000_sonnet_control_519""","""control""","""claude-sonnet-5""","""s3""",null,194.40679000487614,519,"""b4""",false,0.46812344484759033,"""62ea4bfa9d02d603""",1,73,75,1,true,"""FAIL""",0.908667212143137,0.08637146248345906,1.0179750420358713,0.21887811218878112,0.55,0.35,0.5555750862407982,3,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,12,7458,39689,12189,0,0.1312978,141.26997780799866
"""s3_T5000_sonnet_gate_520""","""gate""","""claude-sonnet-5""","""s3""",null,194.40679000487614,520,"""b4""",false,0.45525244208113075,"""62ea4bfa9d02d603""",1,252,259,1,true,"""PASS""",1.0502463010239906,0.22535898664753484,1.0252591471134598,0.0314968503149685,0.75,0.4,1.1700755716831504,7,4,"[0.3745173745173745, 0.6486486486486487, 0.7644787644787645, 0.9961389961389961]",true,true,false,"[""claude-sonnet-5""]",[],false,40,24110,403146,38395,0,0.47538919999999996,246.65585899353027
"""s3_T5000_sonnet_control_521""","""control""","""claude-sonnet-5""","""s3""",null,194.40679000487614,521,"""b4""",false,0.46085080566989534,"""62ea4bfa9d02d603""",2,69,71,1,true,"""PASS""",1.2638415479145553,0.4416952201656289,1.0220880456002226,0.0004999500049995,0.75,0.35,1.676972970624787,3,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,14,7147,47976,11758,0,0.12812520000000002,128.41568088531494
"""s3_T5000_sonnet_gate_522""","""gate""","""claude-sonnet-5""","""s3""",null,194.40679000487614,522,"""b4""",false,0.466844297124692,"""62ea4bfa9d02d603""",2,68,72,1,true,"""PASS""",1.1676339514038776,0.3455280022944177,1.0186979820644801,0.004199580041995801,0.7,0.35,1.1143404389734133,2,1,[0.8611111111111112],true,true,false,"[""claude-sonnet-5""]",[],false,18,6840,55543,11781,0,0.1266686,129.51035284996033
"""s3_T5000_sonnet_control_523""","""control""","""claude-sonnet-5""","""s3""",null,194.40679000487614,523,"""b4""",false,0.4601415818588644,"""62ea4bfa9d02d603""",3,83,85,1,true,"""PASS""",1.2862369087944987,0.46286001325429615,1.022489517503834,0.00019998000199980003,0.75,0.4,0.9269960057391851,2,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,14,8218,51376,13521,0,0.1465672,130.22099995613098
"""s3_T5000_sonnet_gate_524""","""gate""","""claude-sonnet-5""","""s3""",null,194.40679000487614,524,"""b4""",false,0.458367387100443,"""62ea4bfa9d02d603""",3,73,78,1,true,"""PASS""",1.3259410321947713,0.5024271359806312,1.023494157189436,9.999000099990002e-05,0.9,0.35,0.4160349670426003,2,1,[0.9871794871794872],true,true,false,"[""claude-sonnet-5""]",[],false,18,7573,56147,12751,0,0.1379994,148.1724398136139
"""s3_T5000_sonnet_control_525""","""control""","""claude-sonnet-5""","""s3""",null,194.40679000487614,525,"""b4""",false,0.46485976993542216,"""62ea4bfa9d02d603""",0,73,75,1,true,"""PASS""",1.1138755607833777,0.29229769691972707,1.0198199695404029,0.0096990300969903,0.7,0.35,1.3501949485736338,1,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,14,7354,49592,12204,0,0.1323024,139.64944314956665
"""s3_T5000_sonnet_gate_526""","""gate""","""claude-sonnet-5""","""s3""",null,194.40679000487614,526,"""b4""",false,0.4637861021971,"""62ea4bfa9d02d603""",0,68,71,0,true,"""PASS""",1.245045661199388,0.421608747078701,1.0204271907844145,0.0005999400059994001,0.75,0.35,1.3420547985674969,3,1,[0.9859154929577465],true,true,false,"[""claude-sonnet-5""]",[],false,16,6847,51942,11621,0,0.12537440000000002,130.20825099945068
"""s3_T5000_sonnet_control_527""","""control""","""claude-sonnet-5""","""s3""",null,194.40679000487614,527,"""b4""",false,0.45601200626535804,"""62ea4bfa9d02d603""",1,63,68,4,true,"""PASS""",1.3220898979505198,0.4985448434587624,1.024828623401183,9.999000099990002e-05,0.75,0.4,0.440674897368739,3,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,14,6730,46739,11314,0,0.12193179999999999,137.94332122802734
"""s3_T5000_sonnet_gate_528""","""gate""","""claude-sonnet-5""","""s3""",null,194.40679000487614,528,"""b4""",false,0.46359377736741786,"""62ea4bfa9d02d603""",1,141,147,2,true,"""FAIL""",0.9058337640654762,0.08251807402475941,1.0205359772309042,0.22597740225977403,0.4,0.3,0.41385076572174134,2,2,"[0.6258503401360545, 0.9931972789115646]",false,true,false,"[""claude-sonnet-5""]",[],false,34,14944,230356,23758,0,0.2906112,196.82740902900696
"""s3_T5000_sonnet_control_529""","""control""","""claude-sonnet-5""","""s3""",null,194.40679000487614,529,"""b4""",false,0.4640485616154194,"""62ea4bfa9d02d603""",2,84,85,0,true,"""PASS""",1.0590257432361911,0.23706619909440518,1.0202787411896908,0.026797320267973202,0.7,0.35,1.5178667375776669,3,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,14,8309,53057,13539,0,0.1478854,150.5715832710266
"""s3_T5000_sonnet_gate_530""","""gate""","""claude-sonnet-5""","""s3""",null,194.40679000487614,530,"""b4""",false,0.458271371576164,"""62ea4bfa9d02d603""",2,110,116,2,true,"""FAIL""",0.7729027647965868,-0.0508797881372709,1.023548539298079,0.6562343765623437,0.35,0.3,0.5566697420247947,2,2,"[0.646551724137931, 0.9913793103448276]",false,true,false,"[""claude-sonnet-5""]",[],false,24,11552,118878,18736,0,0.21428759999999997,183.79173827171326
"""s3_T5000_sonnet_control_531""","""control""","""claude-sonnet-5""","""s3""",null,194.40679000487614,531,"""b4""",false,0.4553589343194501,"""62ea4bfa9d02d603""",3,72,74,1,true,"""PASS""",1.262362021069768,0.43890794621307316,1.0251987813777625,0.0005999400059994001,0.75,0.4,1.6591205084978127,4,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,12,7073,37744,11862,0,0.12575080000000002,143.91604089736938
"""s3_T5000_sonnet_gate_532""","""gate""","""claude-sonnet-5""","""s3""",null,194.40679000487614,532,"""b4""",false,0.4609604265689081,"""62ea4bfa9d02d603""",3,87,90,1,true,"""PASS""",1.0726805049830392,0.2510038498453908,1.0220259985756464,0.022897710228977103,0.65,0.35,1.0473230930625972,2,1,[0.9444444444444444],true,true,false,"[""claude-sonnet-5""]",[],false,16,8522,68770,14226,0,0.15591,155.1932909488678
"""s3_T5000_sonnet_control_533""","""control""","""claude-sonnet-5""","""s3""",null,194.40679000487614,533,"""b4""",false,0.4645064485290433,"""62ea4bfa9d02d603""",0,100,109,8,true,"""FAIL""",0.9176413724005543,0.09424063711744501,1.020019777052408,0.1994800519948005,0.45,0.35,0.17447933273375898,2,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,18,10789,89183,17426,0,0.1954666,171.71202993392944
"""s3_T5000_sonnet_gate_534""","""gate""","""claude-sonnet-5""","""s3""",null,194.40679000487614,534,"""b4""",false,0.46774962510852586,"""62ea4bfa9d02d603""",0,125,131,1,true,"""FAIL""",0.986528924738167,0.1647005478836474,1.0181862953674656,0.0810918908109189,0.55,0.35,0.8758039500784008,5,2,"[0.7557251908396947, 0.9618320610687023]",false,true,false,"[""claude-sonnet-5""]",[],false,34,13835,213968,21790,0,0.2683716,194.92812538146973
"""s3_T5000_sonnet_control_535""","""control""","""claude-sonnet-5""","""s3""",null,194.40679000487614,535,"""b4""",false,0.46665363302060353,"""62ea4bfa9d02d603""",1,72,74,1,true,"""PASS""",1.2043576541362015,0.3829892754690629,1.0188057567006548,0.001999800019998,0.7,0.4,0.4023950928205617,3,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,14,7278,48947,12053,0,0.1308094,136.8960530757904
"""s3_T5000_sonnet_gate_536""","""gate""","""claude-sonnet-5""","""s3""",null,194.40679000487614,536,"""b4""",false,0.4631534620784876,"""62ea4bfa9d02d603""",1,146,153,2,true,"""FAIL""",1.0026972466258581,0.180514974993354,1.0207850549455673,0.06509349065093491,0.55,0.35,0.7813325091891351,7,3,"[0.46405228758169936, 0.6209150326797386, 0.9084967320261438]",false,true,false,"[""claude-sonnet-5""]",[],false,32,14968,199447,24104,0,0.2860494,187.21441102027893
"""s3_T5000_sonnet_control_537""","""control""","""claude-sonnet-5""","""s3""",null,194.40679000487614,537,"""b4""",false,0.45822514526582886,"""62ea4bfa9d02d603""",2,97,99,1,true,"""PASS""",1.1134196369274398,0.2897896828245784,1.0235747218498281,0.0098990100989901,0.55,0.35,0.9748556197331328,2,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,16,9442,68437,15525,0,0.17023939999999999,162.33255290985107
"""s3_T5000_sonnet_gate_538""","""gate""","""claude-sonnet-5""","""s3""",null,194.40679000487614,538,"""b4""",false,0.45882300091294603,"""62ea4bfa9d02d603""",2,77,81,1,true,"""PASS""",1.20935356940261,0.3869069427331122,1.0232361213702428,0.0014998500149985001,0.65,0.35,0.3362176861085369,2,1,[0.9876543209876543],true,true,false,"[""claude-sonnet-5""]",[],false,18,7581,63962,12975,0,0.14053840000000004,155.5959348678589
"""s3_T5000_sonnet_control_539""","""control""","""claude-sonnet-5""","""s3""",null,194.40679000487614,539,"""b4""",false,0.4610246611359706,"""62ea4bfa9d02d603""",3,68,69,0,true,"""PASS""",1.2503515884850058,0.42669313927043606,1.0219896416561611,0.0006999300069993001,0.6,0.35,0.3915349169392458,0,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,12,6596,36827,11127,0,0.1178574,143.20053124427795
"""s3_T5000_sonnet_gate_540""","""gate""","""claude-sonnet-5""","""s3""",null,194.40679000487614,540,"""b4""",false,0.4536426895090868,"""62ea4bfa9d02d603""",3,155,162,3,true,"""FAIL""",0.9219323349589378,0.09994539789472356,1.0261718691686441,0.1852814718528147,0.55,0.35,-0.00011417311589044457,2,2,"[0.5925925925925926, 0.9074074074074074]",false,true,false,"[""claude-sonnet-5""]",[],false,32,15941,228002,25425,0,0.30677439999999995,223.26462984085083
"""s3_T5000_sonnet_control_541""","""control""","""claude-sonnet-5""","""s3""",null,194.40679000487614,541,"""b4""",false,0.4621666543785699,"""62ea4bfa9d02d603""",0,80,81,0,true,"""PASS""",1.045704137842791,0.22344451254143416,1.0213433659055655,0.034096590340965904,0.6,0.3,0.25252320370178405,2,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,14,8061,51759,13198,0,0.14378180000000002,149.49886107444763
"""s3_T5000_sonnet_gate_542""","""gate""","""claude-sonnet-5""","""s3""",null,194.40679000487614,542,"""b4""",false,0.4613868425727903,"""62ea4bfa9d02d603""",0,103,108,2,true,"""PASS""",1.2029016800549437,0.38167819730140895,1.0217846568353164,0.0016998300169983002,0.7,0.4,0.8856068803144838,2,1,[0.9444444444444444],true,true,false,"[""claude-sonnet-5""]",[],false,22,10397,102994,17210,0,0.19345280000000004,163.95750308036804
"""s3_T5000_sonnet_control_543""","""control""","""claude-sonnet-5""","""s3""",null,194.40679000487614,543,"""b4""",false,0.45423591601288543,"""62ea4bfa9d02d603""",1,79,82,2,true,"""FAIL""",0.9746835366639516,0.15040422037651424,1.0258354631229876,0.1044895510448955,0.5,0.35,0.03285311197423948,3,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,16,8042,61690,13223,0,0.145682,158.08256101608276
