run_id,arm,model,config,budget,sigma,seed_index,batch,config_recovered,power_at_open,fingerprint,worker,n_evaluated,n_tool_use,n_refused,graded,status,submitted_sr_is,sr_deflated,critical_value,p_value,stated_mean,stated_sd,oos,considered,n_status_calls,status_positions,last_cleared,has_submission,submitted_spec,submitted_features,submitted_signs,usage_missing,models_seen,non_mcp_tools,rate_limit_rejected,input_tokens,output_tokens,cache_read,cache_creation,thinking_tokens,cost_usd,wall_seconds
"""s3_T5000_opus_control_581""","""control""","""claude-opus-5""","""s3""",null,194.40679000487614,581,"""b4""",false,0.46498695709062343,"""d8449577980af71e""",0,95,96,0,true,"""PASS""",1.1420704994966908,0.31914675569137885,1.0197480475152958,0.0058994100589941,0.8,0.3,0.18044233283947722,1,0,[],null,true,"""55:f27+f17+f35""","[27, 17, 35]","[1, 1, 1]",false,"[""claude-opus-5""]",[],false,16,9991,60325,15926,0,0.4392775,145.68783593177795
"""s3_T5000_opus_gate_582""","""gate""","""claude-opus-5""","""s3""",null,194.40679000487614,582,"""b4""",false,0.4586341439285683,"""d8449577980af71e""",0,65,69,1,true,"""PASS""",1.232646970067385,0.4117212444589746,1.0233430763455134,0.000999900009999,0.85,0.35,0.3316752485983675,1,2,"[0.5942028985507246, 0.8840579710144928]",true,true,"""51:f24+f9+f8""","[24, 9, 8]","[1, 1, 1]",false,"[""claude-opus-5""]",[],false,18,7310,64791,10863,0,0.32386550000000003,115.60247898101807
"""s3_T5000_opus_control_583""","""control""","""claude-opus-5""","""s3""",null,194.40679000487614,583,"""b4""",false,0.4666617912244135,"""d8449577980af71e""",1,96,97,0,true,"""PASS""",1.2500635182208175,0.4282417602280869,1.0188011451126096,0.00039996000399960006,1.0,0.3,-0.14599740210015896,2,0,[],null,true,"""52:f7+f29+f10""","[7, 29, 10]","[1, 1, 1]",false,"[""claude-opus-5""]",[],false,16,9811,61714,15781,0,0.434022,145.0069272518158
"""s3_T5000_opus_gate_584""","""gate""","""claude-opus-5""","""s3""",null,194.40679000487614,584,"""b4""",false,0.45668125974946383,"""d8449577980af71e""",1,106,109,0,true,"""FAIL""",0.860539883051038,0.03723048800326134,1.024449363676199,0.35376462353764626,0.6,0.25,1.8930618031492399,2,2,"[0.3761467889908257, 0.926605504587156]",false,true,"""56:f20+f16+f34""","[20, 16, 34]","[1, 1, 1]",false,"[""claude-opus-5""]",[],false,18,11257,76555,16826,0,0.4880525,161.7729048728943
"""s3_T5000_opus_control_585""","""control""","""claude-opus-5""","""s3""",null,194.40679000487614,585,"""b4""",false,0.45527017445955337,"""d8449577980af71e""",2,82,83,0,true,"""FAIL""",0.8615683342742613,0.04174302764282789,1.0252490952867457,0.33926607339266074,0.55,0.28,0.34562126493871737,1,0,[],null,true,"""55:f35+-f3+f10""","[35, 3, 10]","[1, -1, 1]",false,"[""claude-opus-5""]",[],false,16,9039,51223,14293,0,0.3945965,138.19385814666748
"""s3_T5000_opus_gate_586""","""gate""","""claude-opus-5""","""s3""",null,194.40679000487614,586,"""b4""",false,0.46667135179868924,"""d8449577980af71e""",2,57,60,0,true,"""PASS""",1.4171849022331198,0.5934349218119704,1.0187957408166566,9.999000099990002e-05,1.05,0.33,0.33038638304534884,0,2,"[0.6833333333333333, 0.7666666666666667]",true,true,"""43:f39+f19+f25""","[39, 19, 25]","[1, 1, 1]",false,"[""claude-opus-5""]",[],false,16,6843,45585,11075,0,0.3046975,109.37036800384521
"""s3_T5000_opus_control_587""","""control""","""claude-opus-5""","""s3""",null,194.40679000487614,587,"""b4""",false,0.45642590753826723,"""d8449577980af71e""",3,104,105,0,true,"""FAIL""",0.835141720219706,0.011039416231235166,1.0245940611245137,0.43925607439256076,0.6,0.3,-0.7723976158437074,0,0,[],null,true,"""52:-f1+f6+f39""","[1, 6, 39]","[-1, 1, 1]",false,"[""claude-opus-5""]",[],false,22,11345,97826,17657,0,0.5092180000000001,161.83117389678955
"""s3_T5000_opus_gate_588""","""gate""","""claude-opus-5""","""s3""",null,194.40679000487614,588,"""b4""",false,0.4499747188717705,"""d8449577980af71e""",3,64,66,0,true,"""FAIL""",0.9659024974761931,0.13997057610866226,1.0282532292020454,0.11898810118988101,0.7,0.3,0.00958419387625424,2,1,[0.6212121212121212],false,true,"""51:f18+f13+f39""","[18, 13, 39]","[1, 1, 1]",false,"[""claude-opus-5""]",[],false,16,8089,55158,11481,0,0.34469399999999994,137.5074348449707
"""s3_T5000_opus_control_589""","""control""","""claude-opus-5""","""s3""",null,194.40679000487614,589,"""b4""",false,0.456378322838791,"""d8449577980af71e""",0,104,105,0,true,"""PASS""",1.2836162477965947,0.46182433787049115,1.0246210265144895,0.00029997000299970003,1.0,0.25,-0.07098488972965972,2,0,[],null,true,"""60:f13+f23+f2""","[13, 2, 23]","[1, 1, 1]",false,"[""claude-opus-5""]",[],false,16,11243,69380,16524,0,0.48108500000000004,148.93724608421326
"""s3_T5000_opus_gate_590""","""gate""","""claude-opus-5""","""s3""",null,194.40679000487614,590,"""b4""",false,0.4593938751670206,"""d8449577980af71e""",0,81,84,0,true,"""PASS""",1.1237040514537322,0.30060891057017536,1.0229128512642618,0.009599040095990401,0.78,0.42,1.118560803575128,2,2,"[0.4880952380952381, 0.9880952380952381]",true,true,"""49:f13+f22+f31""","[13, 22, 31]","[1, 1, 1]",false,"[""claude-opus-5""]",[],false,18,9145,73274,13470,0,0.400052,141.75998997688293
"""s3_T5000_opus_control_591""","""control""","""claude-opus-5""","""s3""",null,194.40679000487614,591,"""b4""",false,0.4541430622788975,"""d8449577980af71e""",1,122,123,0,true,"""FAIL""",1.0188784514001012,0.19548566879523555,1.0258881146460705,0.0542945705429457,0.8,0.3,0.3206105644733254,1,0,[],null,true,"""60:f24+f33+-f15""","[24, 33, 15]","[1, 1, -1]",false,"[""claude-opus-5""]",[],false,16,12535,71541,18758,0,0.5368055000000002,163.20972108840942
"""s3_T5000_opus_gate_592""","""gate""","""claude-opus-5""","""s3""",null,194.40679000487614,592,"""b4""",false,0.4654512750442813,"""d8449577980af71e""",1,101,104,0,true,"""FAIL""",0.9755109101866729,0.1528528901236187,1.0194855012649255,0.09959004099590041,0.7,0.32,0.8061713779863586,0,2,"[0.3942307692307692, 0.9903846153846154]",false,true,"""55:f2+-f6+f31""","[2, 6, 31]","[1, -1, 1]",false,"[""claude-opus-5""]",[],false,16,10726,66513,16074,0,0.46222650000000004,141.93553805351257
"""s3_T5000_opus_control_593""","""control""","""claude-opus-5""","""s3""",null,194.40679000487614,593,"""b4""",false,0.4704961012975223,"""d8449577980af71e""",2,96,97,0,true,"""PASS""",1.2023247399057964,0.38245115743175884,1.0166345668847925,0.0012998700129987,0.85,0.35,0.48953347208056164,1,0,[],null,true,"""56:f5+-f37+-f25""","[5, 37, 25]","[1, -1, -1]",false,"[""claude-opus-5""]",[],false,16,10534,64359,15431,0,0.4499195000000001,137.7395670413971
"""s3_T5000_opus_gate_594""","""gate""","""claude-opus-5""","""s3""",null,194.40679000487614,594,"""b4""",false,0.46070462358968634,"""d8449577980af71e""",2,71,73,0,true,"""PASS""",1.1390309326586872,0.3160648837890747,1.0221707894064138,0.0052994700529947,0.85,0.3,0.9532708233057483,0,1,[0.8904109589041096],true,true,"""52:f0+f24+-f27""","[0, 24, 27]","[1, 1, -1]",false,"[""claude-opus-5""]",[],false,16,7514,56715,11480,0,0.3310875,108.03876900672913
"""s3_T5000_opus_control_595""","""control""","""claude-opus-5""","""s3""",null,194.40679000487614,595,"""b4""",false,0.46204669606000043,"""d8449577980af71e""",3,96,97,0,true,"""PASS""",1.1679622119776603,0.34525632887307733,1.0214112442158978,0.0032996700329967,1.0,0.22,-0.6250287825028283,3,0,[],null,true,"""55:f19+f34+-f9""","[19, 34, 9]","[1, 1, -1]",false,"[""claude-opus-5""]",[],false,20,10306,82215,15301,0,0.4518675,145.23956990242004
"""s3_T5000_opus_gate_596""","""gate""","""claude-opus-5""","""s3""",null,194.40679000487614,596,"""b4""",false,0.4642918878884607,"""d8449577980af71e""",3,82,84,0,true,"""PASS""",1.1178345253507544,0.2949025517331735,1.0201411213937497,0.010498950104989501,0.8,0.28,1.5559887283731593,2,1,[0.8928571428571429],true,true,"""57:f8+f25+-f10""","[8, 25, 10]","[1, 1, -1]",false,"[""claude-opus-5""]",[],false,16,8841,61567,13077,0,0.3826585,132.26933026313782
"""s3_T5000_opus_control_597""","""control""","""claude-opus-5""","""s3""",null,194.40679000487614,597,"""b4""",false,0.4672011316352843,"""d8449577980af71e""",0,92,93,0,true,"""PASS""",1.0214614342074306,0.19834759981696748,1.0184962896158927,0.048095190480951906,0.8,0.25,1.082805759482877,1,0,[],null,true,"""60:f26+f7+f9""","[26, 7, 9]","[1, 1, 1]",false,"[""claude-opus-5""]",[],false,16,9637,65024,14390,0,0.4174169999999999,133.42606902122498
"""s3_T5000_opus_gate_598""","""gate""","""claude-opus-5""","""s3""",null,194.40679000487614,598,"""b4""",false,0.46401838670771767,"""d8449577980af71e""",0,81,84,0,true,"""FAIL""",1.0135215820921621,0.1924103856735394,1.0202958079589655,0.05469453054694531,0.82,0.3,1.0109000597615432,3,1,[0.6428571428571429],false,true,"""52:f17+f29+f13""","[17, 29, 13]","[1, 1, 1]",false,"[""claude-opus-5""]",[],false,16,9087,59537,14510,0,0.4021235,129.90338706970215
"""s3_T5000_opus_control_599""","""control""","""claude-opus-5""","""s3""",null,194.40679000487614,599,"""b4""",false,0.4677107861286629,"""d8449577980af71e""",1,122,123,0,true,"""FAIL""",0.8581260308723837,0.03441623059892396,1.0182082450035577,0.35966403359664034,0.7,0.25,0.012823979169736967,null,0,[],null,true,"""76:f38+f2+-f20""","[38, 2, 20]","[1, 1, -1]",true,[],[],true,0,0,0,0,0,0.0,null
"""s3_T5000_opus_gate_600""","""gate""","""claude-opus-5""","""s3""",null,194.40679000487614,600,"""b4""",false,0.4602284870534435,"""d8449577980af71e""",1,87,89,0,true,"""PASS""",1.065116270339751,0.2431563888358852,1.0224403190533495,0.025997400259974,0.8,0.33,1.3269025517955588,1,1,[0.8539325842696629],true,true,"""60:f23+f38+f32""","[23, 38, 32]","[1, 1, 1]",false,"[""claude-opus-5""]",[],false,20,9951,166801,26295,0,0.5952255000000001,131.10296320915222
"""s3_T5000_opus_control_601""","""control""","""claude-opus-5""","""s3""",null,194.40679000487614,601,"""b4""",false,0.46955369797066765,"""d8449577980af71e""",2,68,69,0,true,"""PASS""",1.3178563368630578,0.49663669216871087,1.0171669211651504,0.00019998000199980003,1.15,0.33,0.6188452358184576,1,0,[],null,true,"""40:f11+f14""","[11, 14]","[1, 1]",false,"[""claude-opus-5""]",[],false,16,7503,48715,11231,0,0.32432249999999996,111.99721693992615
"""s3_T5000_opus_gate_602""","""gate""","""claude-opus-5""","""s3""",null,194.40679000487614,602,"""b4""",false,0.47018772332080183,"""d8449577980af71e""",2,105,108,0,true,"""FAIL""",0.9969672525475776,0.17415038566865393,1.0168087561204608,0.0685931406859314,0.55,0.3,1.014164971326455,2,2,"[0.37962962962962965, 0.9351851851851852]",false,true,"""60:f29+f7+-f4""","[29, 7, 4]","[1, 1, -1]",false,"[""claude-opus-5""]",[],false,18,11175,84195,17795,0,0.4995124999999999,148.88023805618286
"""s3_T5000_opus_control_603""","""control""","""claude-opus-5""","""s3""",null,194.40679000487614,603,"""b4""",false,0.4614294506104561,"""d8449577980af71e""",3,78,79,0,true,"""PASS""",1.425136422119547,0.6032138915535614,1.0217605430422971,9.999000099990002e-05,1.1,0.32,1.3844159741260993,2,0,[],null,true,"""50:f17+f23+f8""","[17, 23, 8]","[1, 1, 1]",false,"[""claude-opus-5""]",[],false,16,8714,56910,12678,0,0.373165,129.12683486938477
