arm,budget,cell,config,considered_median,considered_q1,considered_q3,cost_usd,crps_median,deflation_gap_median,deflation_gap_q1,deflation_gap_q3,model,n,n_evaluated_median,n_evaluated_q1,n_evaluated_q3,n_graded,oos_median,oos_q1,oos_q3,sigma,stated_mean_median,stated_mean_q1,stated_mean_q3,stated_sd_median,stated_sd_q1,stated_sd_q3,submitted_sr_is_median,submitted_sr_is_q1,submitted_sr_is_q3,verdicts
"""budget""",20,"""s0 budget20 sonnet""","""s0""",2.0,1.0,2.0,1.1119,0.34209671705366873,0.5857409624022551,0.5212001478149296,0.6239038588686808,"""claude-sonnet-5""",21,19.0,19.0,20.0,20,-0.06343334005236671,-0.5213703939836087,0.06164472480250212,1.0,0.35,0.2425,0.3625,0.25,0.25,0.25,0.5768012109325166,0.4823278662194501,0.6213708660617226,"{""FAIL"": 20, ""void"": 1}"
"""budget""",60,"""s0 budget60 sonnet""","""s0""",2.0,1.0,3.0,2.1175,0.2474622946175007,0.39629463366981105,0.34690944858883105,0.472815921451333,"""claude-sonnet-5""",20,55.0,54.0,56.0,20,0.023713160276879766,-0.3059367132439936,0.38240868912105863,1.0,0.4,0.35,0.45,0.3,0.25,0.35,0.82465425402165,0.7307655222804629,0.8727937997876848,"{""FAIL"": 19, ""PASS"": 1}"
"""budget""",180,"""s0 budget180 sonnet""","""s0""",3.0,2.0,4.0,4.1419,0.4139887069637367,0.46003683416084934,0.4223406473170744,0.4969442033433662,"""claude-sonnet-5""",20,98.5,90.0,122.25,20,-0.13054162143827233,-0.36734017389818113,0.274016970715722,1.0,0.41000000000000003,0.35,0.4625,0.3,0.25,0.3,0.7929610506867908,0.7186407893958391,0.8391257906043943,"{""FAIL"": 20}"
"""control""",null,"""s0 control fable""","""s0""",0.0,0.0,0.75,14.8101,0.2018502302194041,0.14100513758975763,0.09712264998696793,0.2399828417545456,"""claude-fable-5-1""",30,45.0,44.0,46.0,30,-0.0747049639769308,-0.2848171229870237,0.2783507705334017,1.0,0.11,0.08,0.3,0.35,0.3,0.35,0.8362347031375024,0.7421516462572416,0.9054013519086839,"{""FAIL"": 28, ""PASS"": 2}"
"""control""",null,"""s0 control sonnet""","""s0""",1.0,0.0,2.0,17.0081,0.34193825774142605,0.47729257532821234,0.42391479960941264,0.5174246590041698,"""claude-sonnet-5""",100,82.0,75.0,98.75,100,-0.022591203547534695,-0.28384150153832316,0.24666472002800738,1.0,0.45,0.4,0.5,0.3,0.25,0.35,0.7994243693926828,0.7304791068728526,0.8662548629938263,"{""FAIL"": 97, ""PASS"": 3}"
"""count""",null,"""s0 count sonnet""","""s0""",3.0,2.0,5.25,8.7115,0.19981985399543117,0.4952036035654816,0.45899228679469073,0.5424690159552816,"""claude-sonnet-5""",40,97.5,77.5,129.25,39,0.167992022449932,-0.2760838519703164,0.3641869958909847,1.0,0.45,0.35,0.475,0.3,0.25,0.35,0.7647972256563905,0.6447748095975601,0.8379104237903712,"{""FAIL"": 38, ""no_submit"": 1, ""PASS"": 1}"
"""gate""",null,"""s0 gate fable""","""s0""",0.0,0.0,1.0,14.3433,0.20460615307421243,0.08526013889136397,0.045572754544343216,0.1558690484556968,"""claude-fable-5-1""",30,46.5,44.25,47.75,30,-0.05510850851436492,-0.2572494353339836,0.40387964336320914,1.0,0.05,0.05,0.1425,0.3,0.3,0.35,0.7997634714320849,0.7302529463736572,0.8911843430624694,"{""FAIL"": 29, ""PASS"": 1}"
"""gate""",null,"""s0 gate sonnet""","""s0""",1.0,0.0,3.0,31.1095,0.33518366669563526,0.39249982792361815,0.3356202175088008,0.4462399120054366,"""claude-sonnet-5""",100,140.0,112.0,180.25,100,-0.05474212668444853,-0.40244710437814113,0.30680886955619835,1.0,0.35,0.35,0.45,0.35,0.3,0.35,0.8027850540629753,0.7344808547247696,0.8913725770060188,"{""FAIL"": 94, ""PASS"": 6}"
"""pushed""",null,"""s0 pushed fable""","""s0""",0.0,0.0,1.0,14.5774,0.2528118297797805,0.1609682515587002,0.11044536775515354,0.20145618383898278,"""claude-fable-5-1""",30,46.0,44.0,48.0,30,0.07110526325436459,-0.34581991493403835,0.27084628411945744,1.0,0.07500000000000001,0.05,0.1875,0.3,0.3,0.35,0.7806443776977092,0.6895062028222843,0.8435645310567477,"{""FAIL"": 30}"
"""pushed""",null,"""s0 pushed sonnet""","""s0""",2.0,1.0,3.0,7.0795,0.281988391407901,0.36088163573885046,0.30513635980463083,0.41606471096289,"""claude-sonnet-5""",30,110.5,102.75,120.5,30,-0.037408427621036536,-0.3237958387045844,0.4221969225242519,1.0,0.35,0.25,0.35,0.35,0.3,0.35,0.7957779516393708,0.7222196251420464,0.8487969955907545,"{""FAIL"": 29, ""PASS"": 1}"
